
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-06-28 10:27:10 /api/products/fetch-both-apis ................ ~ 0.37ms
  2025-06-28 10:27:10 /api/products .............................. ~ 500.48ms
  2025-06-28 10:27:10 /api/products/fetch-both-apis .................... ~ 3s
  2025-06-28 10:27:10 /api/products .................................... ~ 2s
  2025-06-28 10:27:25 /api/products .............................. ~ 500.67ms
  2025-06-28 10:27:26 /api/products ................................ ~ 0.16ms
  2025-06-28 10:27:27 /api/products/fetch-both-apis .............. ~ 501.09ms
  2025-06-28 10:27:28 /api/products/fetch-both-apis .................... ~ 2s
  2025-06-28 10:27:33 /api/products ................................ ~ 0.10ms
  2025-06-28 10:27:33 /api/products .............................. ~ 500.69ms
  2025-06-28 10:27:38 /api/products/fetch-both-apis .............. ~ 500.78ms
  2025-06-28 10:27:38 /api/products/fetch-both-apis .................... ~ 2s
  2025-06-28 10:27:48 /api/products/5117 ........................... ~ 0.15ms
  2025-06-28 10:27:48 /api/products/5117 ........................... ~ 0.95ms
  2025-06-28 10:27:48 /api/products/5117 ......................... ~ 500.64ms
  2025-06-28 10:27:48 /api/products/5117 ........................... ~ 0.13ms
  2025-06-28 10:28:11 /api/products/fetch-both-apis ................ ~ 0.11ms
  2025-06-28 10:28:11 /api/products/fetch-both-apis .................... ~ 3s
  2025-06-28 10:28:36 /api/products/5117 ........................... ~ 0.51ms
  2025-06-28 10:28:36 /api/products/fetch-both-apis .............. ~ 501.33ms
  2025-06-28 10:28:36 /api/products .............................. ~ 500.68ms
  2025-06-28 10:28:37 /api/products/5117 ........................... ~ 0.49ms
  2025-06-28 10:28:37 /api/products/fetch-both-apis .................... ~ 2s
  2025-06-28 10:28:37 /api/products .................................... ~ 2s
  2025-06-28 10:29:06 /api/products/fetch-both-apis ................ ~ 0.14ms
  2025-06-28 10:29:06 /api/products/fetch-both-apis .................... ~ 3s
  2025-06-28 10:29:39 /api/products/fetch-both-apis ................ ~ 0.29ms
  2025-06-28 10:29:39 /api/products/fetch-both-apis .................... ~ 3s
  2025-06-28 10:30:12 /api/products/fetch-both-apis ................ ~ 0.19ms
  2025-06-28 10:30:13 /api/products/fetch-both-apis .................... ~ 3s
  2025-06-28 10:30:46 /api/products/fetch-both-apis ................ ~ 0.12ms
  2025-06-28 10:30:47 /api/products/fetch-both-apis .................... ~ 4s
  2025-06-28 10:31:21 /api/products/fetch-both-apis ................ ~ 0.13ms
  2025-06-28 10:31:21 /api/products/fetch-both-apis .................... ~ 4s
  2025-06-28 10:31:56 /api/products/fetch-both-apis ................ ~ 1.41ms
  2025-06-28 10:31:56 /api/products/fetch-both-apis .................... ~ 4s
  2025-06-28 10:32:31 /api/products/fetch-both-apis ................ ~ 0.21ms
  2025-06-28 10:32:32 /api/products/fetch-both-apis .................... ~ 3s
  2025-06-28 10:33:06 /api/products/fetch-both-apis ................ ~ 0.29ms
  2025-06-28 10:33:07 /api/products/fetch-both-apis .................... ~ 4s
  2025-06-28 10:33:41 /api/products/fetch-both-apis .............. ~ 500.43ms
  2025-06-28 10:33:42 /api/products/fetch-both-apis .................... ~ 4s
  2025-06-28 10:34:17 /api/products/fetch-both-apis .............. ~ 500.50ms
